unique_play_id,target_player_id,target_player_name,target_player_position,quarterback_id,quarterback_name,receiver_route,defensive_coverage,offense_team,defense_team,pass_result,pass_score_raw,open_score_raw,pass_score_scaled,open_score_scaled,pass_pctile,open_pctile,expected_success,open_receiver,blanketed_receiver,exceptional_pass,bad_pass,play_category,splash_play
2023090700101,44930,Josh Reynolds,WR,43290.0,Jared Goff,CORNER,COVER_2_ZONE,DET,KC,I,40.155280375982066,35.500682512438175,69.85642269547097,40.13235060897369,48.787749893662266,85.9421522756274,76.562,True,False,False,False,typical,False
2023090700194,41325,Jerick McKinnon,RB,44822.0,Patrick Mahomes,ANGLE,COVER_1_MAN,KC,DET,C,97.55504160940355,16.97038237288141,98.77803373637047,19.017686024750525,83.83666524883029,50.396994186870835,88.19716,False,False,True,False,typical,False
2023090700219,53591,Noah Gray,TE,44822.0,Patrick Mahomes,HITCH,COVER_4_ZONE,KC,DET,C,99.50896052267382,17.599764130248726,99.76254101655331,19.73484573625845,92.17354317311782,52.6442648518361,90.7935,False,False,True,False,typical,False
2023090700361,38696,Marvin Jones,WR,43290.0,Jared Goff,HITCH,COVER_4_ZONE,DET,KC,C,2.1719171956650136,15.070692078643248,50.71801458504281,16.853051719064506,26.719126612788884,43.385793279455555,54.32839,False,False,False,False,typical,False
2023090700436,53541,Amon-Ra St. Brown,WR,43290.0,Jared Goff,SLANT,COVER_1_MAN,DET,KC,C,0.6832267394933922,9.745251612665893,49.967918671601524,10.784888313425759,23.33049766056997,23.8125620303417,48.00716,False,True,False,True,covered + bad,True
2023090700461,44930,Josh Reynolds,WR,43290.0,Jared Goff,POST,COVER_6_ZONE,DET,KC,C,88.12899095826644,31.7053913007265,94.02859637415942,35.80774170727142,71.59364809301006,81.97929958882744,86.605835,True,False,False,False,typical,False
2023090700530,53541,Amon-Ra St. Brown,WR,43290.0,Jared Goff,OUT,COVER_2_ZONE,DET,KC,C,14.539852378647355,10.948490389521067,56.94975846437096,12.155939132715707,37.487593931660285,27.75414717141642,59.684246,False,False,False,False,typical,False
2023090700621,53541,Amon-Ra St. Brown,WR,43290.0,Jared Goff,CROSS,COVER_1_MAN,DET,KC,C,16.839713028734447,7.9295961004231295,58.10857295664031,8.71600886448129,38.85580603998299,18.226286686516378,58.984196,False,True,False,False,typical,False
2023090700713,53591,Noah Gray,TE,44822.0,Patrick Mahomes,OUT,COVER_4_ZONE,KC,DET,I,21.10050320466852,0.6435525686688734,60.255427116784446,0.4138030631499119,40.91875797532965,1.3823904721395153,57.466263,False,True,False,False,typical,False
2023090700736,46213,Justin Watson,WR,44822.0,Patrick Mahomes,CORNER,COVER_1_MAN,KC,DET,C,-4.131075318231381,0.7022371776104706,47.54217040096506,0.4806722355176599,11.066212959024528,1.4816390188572237,34.723694,False,True,False,True,covered + bad,True
2023090700877,46243,Marquez Valdes-Scantling,WR,44822.0,Patrick Mahomes,HITCH,COVER_3_ZONE,KC,DET,C,2.0474398006515444,32.984338259797795,50.655295041884365,37.265059498047826,26.520629519353466,83.44676024386786,61.517685,True,False,False,False,typical,False
2023090700902,55920,Rashee Rice,WR,44822.0,Patrick Mahomes,HITCH,COVER_1_MAN,KC,DET,I,17.82056979767186,9.164349324658541,58.60279030787075,10.122969355011284,39.34495959166312,21.90557209698001,60.02032,False,True,False,False,typical,False
20230907001001,55920,Rashee Rice,WR,44822.0,Patrick Mahomes,HITCH,COVER_0_MAN,KC,DET,C,8.038661963512084,41.5269360823718,53.67404970793998,46.9990673847587,33.297887423791295,90.08223451013752,67.500015,True,False,False,False,typical,False
20230907001069,53959,Brock Wright,TE,43290.0,Jared Goff,IN,COVER_3_ZONE,DET,KC,C,3.352408462888999,10.68278444759244,51.31282035660326,11.853175993446218,28.420530270806747,26.775840068056144,52.538372,False,False,False,False,typical,False
20230907001154,53541,Amon-Ra St. Brown,WR,43290.0,Jared Goff,CROSS,COVER_3_ZONE,DET,KC,C,-6.152912356432827,30.908232215341286,46.52344169634288,34.899405275513146,9.953211399404509,81.08606266836807,48.341423,True,False,False,True,open + bad,True
20230907001201,55899,Sam LaPorta,TE,43290.0,Jared Goff,SLANT,COVER_2_ZONE,DET,KC,C,0.000915882942251374,11.53329450724132,49.62412753418012,12.822304097132903,17.19126612788884,29.866723380121936,44.374016,False,False,False,True,typical,True
20230907001300,55876,Jahmyr Gibbs,RB,43290.0,Jared Goff,FLAT,COVER_3_ZONE,DET,KC,C,96.58306241035461,13.847240016189744,98.2882894633861,15.458968528882584,81.66737558485751,38.56514958173827,86.463394,False,False,True,False,typical,False
20230907001422,53591,Noah Gray,TE,44822.0,Patrick Mahomes,CORNER,COVER_1_MAN,KC,DET,I,7.79228598595475,8.801722526053652,53.549909989592415,9.709768102785047,33.06394442081384,20.85637317453566,55.036236,False,True,False,False,typical,False
20230907001494,38696,Marvin Jones,WR,43290.0,Jared Goff,IN,COVER_3_ZONE,DET,KC,I,-3.353826140348981,4.372130636309208,47.93379743775986,4.662394542046472,11.484474691620587,8.570820927264993,36.245197,False,True,False,True,covered + bad,False
20230907001563,55920,Rashee Rice,WR,44822.0,Patrick Mahomes,HITCH,COVER_3_ZONE,KC,DET,C,15.061607756069861,16.91734075878302,57.212651649988004,18.957246858506124,37.79951793563023,50.15596200198497,63.895107,False,False,False,False,typical,False
20230907001588,46309,Richie James,WR,44822.0,Patrick Mahomes,POST,COVER_4_ZONE,KC,DET,I,-104.17693257332094,12.129893882069041,0.0,13.502109367191839,0.5068765064511556,32.09272649936197,32.506405,False,False,False,True,typical,False
20230907001618,55920,Rashee Rice,WR,44822.0,Patrick Mahomes,IN,COVER_4_ZONE,KC,DET,C,0.0676357186694787,13.351308688469139,49.657745185127624,14.893871171432039,19.878066071175386,36.62980292074295,47.724216,False,False,False,True,typical,True
20230907001679,46243,Marquez Valdes-Scantling,WR,44822.0,Patrick Mahomes,GO,COVER_2_ZONE,KC,DET,C,-49.33564637886474,44.76802496452078,24.76526343492873,50.69218104826288,4.125903870693322,91.45753580036865,45.751755,True,False,False,True,open + bad,True
20230907001711,46213,Justin Watson,WR,44822.0,Patrick Mahomes,CORNER,COVER_2_ZONE,KC,DET,C,71.68637989625925,64.98559593285052,85.74377442693375,73.72943497771927,61.682971785056004,97.05798950801078,84.16334,True,False,False,False,typical,False
20230907001741,42460,Blake Bell,TE,44822.0,Patrick Mahomes,HITCH,COVER_0_MAN,KC,DET,C,0.013070209759271853,14.76342891300005,49.63025164872541,16.50293549683488,18.325535233234085,42.166453991209416,47.55435,False,False,False,True,typical,True
20230907001812,55899,Sam LaPorta,TE,43290.0,Jared Goff,IN,COVER_2_ZONE,DET,KC,C,0.0051034824096518605,4.18293634113226,49.62623751025648,4.446813895547276,17.793846590103502,8.173826740394158,40.840378,False,True,False,True,covered + bad,True
20230907001837,55899,Sam LaPorta,TE,43290.0,Jared Goff,CROSS,COVER_2_ZONE,DET,KC,C,0.8957955986261368,12.595001938943597,50.075024236696905,14.032084626219723,23.862186303700554,33.84375443073869,50.310463,False,False,False,True,typical,False
20230907001869,44930,Josh Reynolds,WR,43290.0,Jared Goff,HITCH,COVER_1_MAN,DET,KC,C,0.2638762246952142,10.352329014834933,49.75662349862209,11.47663294934224,21.643272366368922,25.662838508436124,47.03991,False,False,False,True,typical,True
20230907001940,38696,Marvin Jones,WR,43290.0,Jared Goff,OUT,COVER_2_ZONE,DET,KC,I,63.82147705703747,50.86510037289487,81.78094155267443,57.63959696829524,57.97532964695874,93.9812845597618,82.22107,True,False,False,False,typical,False
