unique_play_id,target_player_id,target_player_name,target_player_position,quarterback_id,quarterback_name,receiver_route,defensive_coverage,offense_team,defense_team,pass_result,pass_score_raw,open_score_raw,pass_pctile,open_pctile,expected_C_pct,open_receiver,blanketed_receiver,exceptional_pass,bad_pass,play_category,splash_play
2023090700101,44930,Josh Reynolds,WR,43290.0,Jared Goff,CORNER,COVER_2_ZONE,DET,KC,I,40.155280375982066,35.500682512438175,48.787749893662266,85.9421522756274,78.85316,True,False,False,False,typical,False
2023090700194,41325,Jerick McKinnon,RB,44822.0,Patrick Mahomes,ANGLE,COVER_1_MAN,KC,DET,C,97.55504160940355,16.97038237288141,83.83666524883029,50.396994186870835,89.494446,False,False,True,False,typical,False
2023090700219,53591,Noah Gray,TE,44822.0,Patrick Mahomes,HITCH,COVER_4_ZONE,KC,DET,C,99.50896052267382,17.599764130248726,92.17354317311782,52.6442648518361,91.91076,False,False,True,False,typical,False
2023090700361,38696,Marvin Jones,WR,43290.0,Jared Goff,HITCH,COVER_4_ZONE,DET,KC,C,2.1719171956650136,15.070692078643248,26.719126612788884,43.385793279455555,55.98964,False,False,False,False,typical,False
2023090700436,53541,Amon-Ra St. Brown,WR,43290.0,Jared Goff,SLANT,COVER_1_MAN,DET,KC,C,0.6832267394933922,9.745251612665893,23.33049766056997,23.8125620303417,49.103924,False,True,False,True,covered + bad,True
2023090700461,44930,Josh Reynolds,WR,43290.0,Jared Goff,POST,COVER_6_ZONE,DET,KC,C,88.12899095826644,31.7053913007265,71.59364809301006,81.97929958882744,88.26252,True,False,False,False,typical,False
2023090700530,53541,Amon-Ra St. Brown,WR,43290.0,Jared Goff,OUT,COVER_2_ZONE,DET,KC,C,14.539852378647355,10.948490389521067,37.487593931660285,27.75414717141642,61.166237,False,False,False,False,typical,False
2023090700621,53541,Amon-Ra St. Brown,WR,43290.0,Jared Goff,CROSS,COVER_1_MAN,DET,KC,C,16.839713028734447,7.9295961004231295,38.85580603998299,18.226286686516378,60.275684,False,True,False,False,typical,False
2023090700713,53591,Noah Gray,TE,44822.0,Patrick Mahomes,OUT,COVER_4_ZONE,KC,DET,I,21.10050320466852,0.6435525686688734,40.91875797532965,1.3823904721395153,58.40644,False,True,False,False,typical,False
2023090700736,46213,Justin Watson,WR,44822.0,Patrick Mahomes,CORNER,COVER_1_MAN,KC,DET,C,-4.131075318231381,0.7022371776104706,11.066212959024528,1.4816390188572237,34.92856,False,True,False,True,covered + bad,True
2023090700877,46243,Marquez Valdes-Scantling,WR,44822.0,Patrick Mahomes,HITCH,COVER_3_ZONE,KC,DET,C,2.0474398006515444,32.984338259797795,26.520629519353466,83.44676024386786,64.033615,True,False,False,False,typical,False
2023090700902,55920,Rashee Rice,WR,44822.0,Patrick Mahomes,HITCH,COVER_1_MAN,KC,DET,I,17.82056979767186,9.164349324658541,39.34495959166312,21.90557209698001,61.400795,False,True,False,False,typical,False
20230907001001,55920,Rashee Rice,WR,44822.0,Patrick Mahomes,HITCH,COVER_0_MAN,KC,DET,C,8.038661963512084,41.5269360823718,33.297887423791295,90.08223451013752,70.09998,True,False,False,False,typical,False
20230907001069,53959,Brock Wright,TE,43290.0,Jared Goff,IN,COVER_3_ZONE,DET,KC,C,3.352408462888999,10.68278444759244,28.420530270806747,26.775840068056144,53.832466,False,False,False,False,typical,False
20230907001154,53541,Amon-Ra St. Brown,WR,43290.0,Jared Goff,CROSS,COVER_3_ZONE,DET,KC,C,-6.152912356432827,30.908232215341286,9.953211399404509,81.08606266836807,50.56179,True,False,False,True,open + bad,False
20230907001201,55899,Sam LaPorta,TE,43290.0,Jared Goff,SLANT,COVER_2_ZONE,DET,KC,C,0.000915882942251374,11.53329450724132,17.19126612788884,29.866723380121936,45.46173,False,False,False,True,typical,True
20230907001300,55876,Jahmyr Gibbs,RB,43290.0,Jared Goff,FLAT,COVER_3_ZONE,DET,KC,C,96.58306241035461,13.847240016189744,81.66737558485751,38.56514958173827,87.77377,False,False,True,False,typical,False
20230907001422,53591,Noah Gray,TE,44822.0,Patrick Mahomes,CORNER,COVER_1_MAN,KC,DET,I,7.79228598595475,8.801722526053652,33.06394442081384,20.85637317453566,56.284298,False,True,False,False,typical,False
20230907001494,38696,Marvin Jones,WR,43290.0,Jared Goff,IN,COVER_3_ZONE,DET,KC,I,-3.353826140348981,4.372130636309208,11.484474691620587,8.570820927264993,36.630775,False,True,False,True,covered + bad,False
20230907001563,55920,Rashee Rice,WR,44822.0,Patrick Mahomes,HITCH,COVER_3_ZONE,KC,DET,C,15.061607756069861,16.91734075878302,37.79951793563023,50.15596200198497,65.83333,False,False,False,False,typical,False
20230907001588,46309,Richie James,WR,44822.0,Patrick Mahomes,POST,COVER_4_ZONE,KC,DET,I,-104.17693257332094,12.129893882069041,0.5104210974053595,32.09272649936197,33.162872,False,False,False,True,typical,False
20230907001618,55920,Rashee Rice,WR,44822.0,Patrick Mahomes,IN,COVER_4_ZONE,KC,DET,C,0.0676357186694787,13.351308688469139,19.878066071175386,36.62980292074295,49.060467,False,False,False,True,typical,True
20230907001679,46243,Marquez Valdes-Scantling,WR,44822.0,Patrick Mahomes,GO,COVER_2_ZONE,KC,DET,C,-49.33564637886474,44.76802496452078,4.125903870693322,91.45753580036865,48.082283,True,False,False,True,open + bad,True
20230907001711,46213,Justin Watson,WR,44822.0,Patrick Mahomes,CORNER,COVER_2_ZONE,KC,DET,C,71.68637989625925,64.98559593285052,61.682971785056004,97.05798950801078,86.13915,True,False,False,False,typical,False
20230907001741,42460,Blake Bell,TE,44822.0,Patrick Mahomes,HITCH,COVER_0_MAN,KC,DET,C,0.013070209759271853,14.76342891300005,18.325535233234085,42.166453991209416,48.99239,False,False,False,True,typical,True
20230907001812,55899,Sam LaPorta,TE,43290.0,Jared Goff,IN,COVER_2_ZONE,DET,KC,C,0.0051034824096518605,4.18293634113226,17.793846590103502,8.173826740394158,41.38539,False,True,False,True,covered + bad,True
20230907001837,55899,Sam LaPorta,TE,43290.0,Jared Goff,CROSS,COVER_2_ZONE,DET,KC,C,0.8957955986261368,12.595001938943597,23.862186303700554,33.84375443073869,51.67569,False,False,False,True,typical,False
20230907001869,44930,Josh Reynolds,WR,43290.0,Jared Goff,HITCH,COVER_1_MAN,DET,KC,C,0.2638762246952142,10.352329014834933,21.643272366368922,25.662838508436124,48.140144,False,False,False,True,typical,True
20230907001940,38696,Marvin Jones,WR,43290.0,Jared Goff,OUT,COVER_2_ZONE,DET,KC,I,63.82147705703747,50.86510037289487,57.97532964695874,93.9812845597618,84.30436,True,False,False,False,typical,False
20230907002118,42460,Blake Bell,TE,44822.0,Patrick Mahomes,IN,COVER_4_ZONE,KC,DET,I,3.8044996070652815,3.2063774899385216,28.98057564157096,5.841485892528002,49.817226,False,True,False,False,typical,False
20230907002141,53591,Noah Gray,TE,44822.0,Patrick Mahomes,CROSS,COVER_4_ZONE,KC,DET,C,1.4906384630686849,8.004926016441862,25.365092868283,18.453140507585424,49.598392,False,True,False,False,typical,True
20230907002186,38696,Marvin Jones,WR,43290.0,Jared Goff,HITCH,COVER_4_ZONE,DET,KC,I,30.94220525185011,7.990338717649184,45.285694030908836,18.396427052318163,65.152145,False,True,False,False,typical,False
20230907002261,55899,Sam LaPorta,TE,43290.0,Jared Goff,CROSS,COVER_1_MAN,DET,KC,C,19.992439524867223,8.821517148307294,40.47213951509996,20.94853253934496,62.066036,False,True,False,False,typical,False
20230907002306,53449,Kadarius Toney,WR,44822.0,Patrick Mahomes,CROSS,COVER_2_ZONE,KC,DET,I,87.14614225503277,31.748085881010958,70.63660853537502,82.04310222600311,87.94485,True,False,False,False,typical,False
20230907002364,53449,Kadarius Toney,WR,44822.0,Patrick Mahomes,CROSS,COVER_4_ZONE,KC,DET,IN,54.58017002574462,4.436972692028169,54.26768750886147,8.762228838792003,69.69824,False,True,False,False,typical,False
20230907002435,54716,Isiah Pacheco,RB,44822.0,Patrick Mahomes,FLAT,COVER_2_ZONE,KC,DET,C,98.27190637588501,76.39066183661464,86.1406493690628,98.30568552389055,93.25245,True,False,True,False,open + exceptional,False
20230907002487,46213,Justin Watson,WR,44822.0,Patrick Mahomes,POST,COVER_4_ZONE,KC,DET,I,-96.79832309484482,15.813654476974705,1.1838933787040975,46.271090316177514,36.40329,False,False,False,True,typical,False
20230907002510,46309,Richie James,WR,44822.0,Patrick Mahomes,HITCH,COVER_3_ZONE,KC,DET,C,99.98323703425464,19.364581870052188,99.11385226144903,58.32978874237913,93.718346,False,False,True,False,typical,False
20230907002613,53541,Amon-Ra St. Brown,WR,43290.0,Jared Goff,IN,COVER_1_MAN,DET,KC,C,91.15289794053453,22.246413344261107,74.26626967247981,66.08535375017723,87.7377,False,False,False,False,typical,False
20230907002638,55899,Sam LaPorta,TE,43290.0,Jared Goff,CROSS,COVER_0_MAN,DET,KC,C,49.10978525876999,9.451816328995278,52.27562739259889,22.890968382248687,70.87927,False,True,False,False,typical,False
20230907002825,54716,Isiah Pacheco,RB,44822.0,Patrick Mahomes,FLAT,COVER_2_ZONE,KC,DET,C,99.99390840530396,26.31854454376287,99.6313625407628,74.67744222316745,94.57873,False,False,True,False,typical,False
20230907002906,42460,Blake Bell,TE,44822.0,Patrick Mahomes,CROSS,COVER_2_ZONE,KC,DET,C,5.116388946771622,23.76737009790122,30.440947114702965,69.52360697575499,64.203186,False,False,False,False,typical,False
20230907002936,54519,Skyy Moore,WR,44822.0,Patrick Mahomes,SLANT,COVER_1_MAN,KC,DET,I,0.03185129024458888,8.132572394816862,19.09825606125053,18.779242875372184,44.637375,False,True,False,True,covered + bad,False
